prefix,URI
acrt,http://privatealpha.com/ontology/certification/1#
aws,http://purl.oclc.org/NET/ssnx/meteo/aws#
basic,http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic#
bbccms,http://www.bbc.co.uk/ontologies/cms/
bbccore,http://www.bbc.co.uk/ontologies/coreconcepts/
bbcprov,http://www.bbc.co.uk/ontologies/provenance/
bevon,http://rdfs.co/bevon/
citof,http://www.essepuntato.it/2013/03/cito-functions#
dicom,http://purl.org/healthcarevocab/v1#
dq,http://def.seegrid.csiro.au/isotc211/iso19115/2003/dataquality#
dsn,http://purl.org/dsnotify/vocab/eventset/
ebucore,http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#
ext,http://def.seegrid.csiro.au/isotc211/iso19115/2003/extent#
geos,http://www.telegraphis.net/ontology/geography/geography#
gf,http://def.seegrid.csiro.au/isotc211/iso19109/2005/feature#
gm,http://def.seegrid.csiro.au/isotc211/iso19107/2003/geometry#
gts,http://resource.geosciml.org/ontology/timescale/gts#
h2o,http://def.seegrid.csiro.au/isotc211/iso19150/-2/2012/basic#
hdo,http://www.samos.gr/ontologies/helpdeskOnto.owl#
hr,http://iserve.kmi.open.ac.uk/ns/hrests#
itm,http://spi-fm.uca.es/spdef/models/genericTools/itm/1.0#
keys,http://purl.org/NET/c4dm/keys.owl#
ldr,http://purl.oclc.org/NET/ldr/ns#
limo,http://www.purl.org/limo-ontology/limo#
lio,http://purl.org/net/lio#
lmf,http://www.lexinfo.net/lmf#
locah,http://data.archiveshub.ac.uk/def/
loted,http://loted.eu/ontology#
maso,http://securitytoolbox.appspot.com/MASO#
msm,http://iserve.kmi.open.ac.uk/ns/msm#
oad,http://lod.xdams.org/reload/oad/
oan,http://data.lirmm.fr/ontologies/oan/
odrs,http://schema.theodi.org/odrs#
olca,http://www.lingvoj.org/olca#
ont,http://purl.org/net/ns/ontology-annot#
ontosec,http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#
oslo,http://purl.org/oslo/ns/localgov#
parl,http://reference.data.gov.uk/def/parliament/
pattern,http://www.essepuntato.it/2008/12/pattern#
pkm,http://www.ontotext.com/proton/protonkm#
pnc,http://data.press.net/ontology/classification/
pni,http://data.press.net/ontology/identifier/
pnt,http://data.press.net/ontology/tag/
psys,http://www.ontotext.com/proton/protonsys#
qu,http://purl.oclc.org/NET/ssnx/qu/qu#
rdag2,http://rdvocab.info/ElementsGr2/
rdarel2,http://metadataregistry.org/uri/schema/RDARelationshipsGR2/
reegle,http://reegle.info/schema#
ru,http://purl.org/imbi/ru-meta.owl#
sam,http://def.seegrid.csiro.au/isotc211/iso19156/2011/sampling#
sao,http://salt.semanticauthoring.org/ontologies/sao#
sbench,http://swat.cse.lehigh.edu/onto/univ-bench.owl#
scip,http://lod.taxonconcept.org/ontology/sci_people.owl#
scoro,http://purl.org/spar/scoro/
security,http://securitytoolbox.appspot.com/securityMain#
shw,http://paul.staroch.name/thesis/SmartHomeWeather.owl#
spcm,http://spi-fm.uca.es/spdef/models/deployment/spcm/1.0#
spfood,http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#
sro,http://salt.semanticauthoring.org/ontologies/sro#
stories,http://purl.org/ontology/stories/
swpm,http://spi-fm.uca.es/spdef/models/deployment/swpm/1.0#
tac,http://ns.bergnet.org/tac/0.1/triple-access-control#
taxon,http://purl.org/biodiversity/taxon/
thors,http://resource.geosciml.org/ontology/timescale/thors#
tm,http://def.seegrid.csiro.au/isotc211/iso19108/2002/temporal#
va,http://code-research.eu/ontology/visual-analytics#
vin,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
vmm,http://spi-fm.uca.es/spdef/models/genericTools/vmm/1.0#
vra,http://simile.mit.edu/2003/10/ontologies/vraCore3#
whisky,http://vocab.org/whisky/terms/
wikim,http://spi-fm.uca.es/spdef/models/genericTools/wikim/1.0#
topo,http://data.ign.fr/def/topo#
ignf,http://data.ign.fr/def/ignf#
geom,http://data.ign.fr/def/geometrie#
geofla,http://data.ign.fr/def/geofla#
