prefix,URI
aml,https://w3id.org/i40/aml#
bci,https://w3id.org/BCI-ontology#
cfrl,http://linkeddata.finki.ukim.mk/lod/ontology/cfrl#
dbm,http://purl.org/net/dbm/ontology#
dbowl,http://ontology.cybershare.utep.edu/dbowl/relational-to-ontology-mapping-primitive.owl#
earth,http://linked.earth/ontology#
foio,https://w3id.org/seas/FeatureOfInterestOntology/
hosp,http://health.data.gov/def/hospital/
hw,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl
jup,http://w3id.org/charta77/jup/
juso.kr,http://rdfs.co/juso/kr/
m3lite,http://purl.org/iot/vocab/m3-lite#
obws,http://delicias.dia.fi.upm.es/ontologies/ObjectWithStates.owl#
pep,https://w3id.org/pep/
rami,http://iais.fraunhofer.de/vocabs/rami#
s4ee,https://w3id.org/saref4ee#
summa,http://purl.org/voc/summa/
trao,http://linkeddata.finki.ukim.mk/lod/ontology/tao#
ucum,http://purl.oclc.org/NET/muo/ucum/
veo,http://linkeddata.finki.ukim.mk/lod/ontology/veo#
xbrll,https://w3id.org/vocab/xbrll#
