prefix,URI
ctxdesc,http://www.demcare.eu/ontologies/contextdescriptor.owl#
dqc,http://semwebquality.org/ontologies/dq-constraints#
edac,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-edac.owl#
eem,http://purl.org/eem#
frappe,http://streamreasoning.org/ontologies/frappe#
gci,http://ontology.eil.utoronto.ca/GCI/Foundation/GCI-Foundation.owl#
hto,http://project-haystack.org/hto#
ipo,http://purl.org/ipo/core#
iso37120,http://ontology.eil.utoronto.ca/ISO37120.owl#
juso,http://rdfs.co/juso/
km4c,http://www.disit.org/km4city/schema#
lslife,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-lifemapper.owl#
lsmap,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#
lsweb,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#
lswpm,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-lifemapper-parameters.owl#
nlon,http://lod.nl.go.kr/ontology/
open311,http://ontology.eil.utoronto.ca/open311#
samfl,http://def.seegrid.csiro.au/ontology/om/sam-lite#
sor,http://purl.org/net/soron/
step,http://purl.org/net/step#
tp,http://tour-pedia.org/download/tp.owl#
